Gender Open Repositorium                    Gender Open                                 Gender Open Repositorium
mdw Repository (University of Music and ... base_ftunivmdwien                           BASE Bielefeld Academic Search Engine
JSTOR Arts & Sciences XII Archive           JSTOR Arts & Sciences XII Archive           JSTOR
Deutschsprachige Frauenliteratur des 18.... Deutschsprachige Frauenliteratur des 18.... Nationallizenzen (eBooks / Monographien)...
Social Theory                               Social Theory                               Nationallizenzen (eBooks / Monographien)...
JSTOR Language & Literature Archive         JSTOR Language & Literature Archive         JSTOR
JSTOR Religion & Theology                   JSTOR Religion & Theology                   JSTOR
OLC SSG Medien- / Kommunikationswissensc... OLC SSG Medien- / Kommunikationswissensc... OLC Online Contents (aus GBV Central)
FreiMusic - HfM Freiburg (Hochschule fü...  base_fthsmfreiburg                          BASE Bielefeld Academic Search Engine
JSTOR Arts & Sciences IX Archive            JSTOR Arts & Sciences IX Archive            JSTOR
JSTOR Health & General Sciences             JSTOR Health & General Sciences             JSTOR
JSTOR Arts & Sciences XI Archive            JSTOR Arts & Sciences XI Archive            JSTOR
JSTOR Arts & Sciences X Archive             JSTOR Arts & Sciences X Archive             JSTOR
Royal College of Music, London: RCM Rese... base_ftroyalcollmusic                       BASE Bielefeld Academic Search Engine
Deutsches Textarchiv                        Deutsches Textarchiv                        Deutsches Textarchiv (DTA)
Margaret Herrick Library                    Margaret Herrick Library                    Margaret Herrick Library
Lizenzfreie Online-Ressourcen               Lizenzfreie Online-Ressourcen               BSZ (SWB)
Carnegie Mellon University: Clifford Gle... base_ftcarmelshull                          BASE Bielefeld Academic Search Engine
JOVE Journal of Visualized Experiments (... JOVE Journal of Visualized Experiments /... JOVE Journal of Visualized Experiments
MediathekView                               MediathekView                               MediathekView
pub.mdw (University of Music and Perform... base_ftunivmdwienpub                        BASE Bielefeld Academic Search Engine
EconStor (German National Library of Eco... base_ftzbwkiel                              BASE Bielefeld Academic Search Engine
Biodiversity Heritage Library (BHL)         base_ftbhle                                 BASE Bielefeld Academic Search Engine
Gesamtkatalog der Düsseldorfer Kulturin...  Gesamtkatalog der Düsseldorfer Kulturin...  Gesamtkatalog der Düsseldorfer Kulturin...
Loeb Classical Library                      Loeb Classical Library                      Loeb Classical Library
Genios wiso (Recht)                         Wiso Journals / Recht                       GBI Genios Wiso
media/rep/ - Repositorium für die Medie...  media/rep/                                  media/rep/ - Repositorium für die Medie...
Munzinger / edition text + kritik / Krit... Munzinger / Kritisches Lexikon der deuts... Munzinger
Aarhus University: OJS at The State and ... base_ftsbaarhusojs                          BASE Bielefeld Academic Search Engine
PCO Convin (CrossRef)                       PCO Convin (CrossRef)                       Crossref
Carnegie Mellon University: Research Sho... base_ftcarmeluniv                           BASE Bielefeld Academic Search Engine
De Gruyter eBooks EBS (Sachsen Profil)      De Gruyter E-Books                          De Gruyter eBooks EBS (Sachsen Profil)
Corpus de la première littérature fran...   Corpus de la première littérature fran...   Nationallizenzen (eBooks / Monographien)...
International Journal of Communication      International Journal of Communication      International Journal of Communication
JSTOR Business II Archive                   JSTOR Business II Archive                   JSTOR
ASEPUMA (CrossRef)                          ASEPUMA (CrossRef)                          Crossref
MediArxiv - Open Archive for Media, Film... MediArxiv                                   MediArxiv - Open Archive for Media, Film...
Genios wiso (Sozialwissenschaften)          Wiso Journals / Sozialwissenschaften        GBI Genios Wiso
Zeitschrift "Rundfunk und Geschichte"       Zeitschrift "Rundfunk und Geschichte"       Zeitschrift "Rundfunk und Geschichte"
Anuario Musical (E-Journal)                 base_ftjanuariomusica                       BASE Bielefeld Academic Search Engine
PQDT Open                                   ProQuest Open Access Dissertations and T... PQDT Open
Aalen University of Applied Sciences: OP... base_fthsaalen                              BASE Bielefeld Academic Search Engine
Opus - Publication Server of the Hochsch... base_fthsmdetmold                           BASE Bielefeld Academic Search Engine
Thieme eBooks Tiermedizin VetCenter         Thieme E-Books / Tiermedizin (VetCenter)... Thieme eBooks Tiermedizin VetCenter
JOVE Journal of Visualized Experiments (... JOVE Journal of Visualized Experiments /... JOVE Journal of Visualized Experiments
OstDok                                      OstDok                                      OstDok (Virtuelle Fachbibliothek Osteuro...
Genios wiso (Fachzeitschriften)             Wiso Journals                               GBI Genios Wiso
JSTOR Arts & Sciences VIII Archive          JSTOR Arts & Sciences VIII Archive          JSTOR
IMF International Monetary Fund             IMF International Monetary Fund             IMF International Monetary Fund
JSTOR Arts & Sciences XIV Archive           JSTOR Arts & Sciences XIV Archive           JSTOR
JOVE Journal of Visualized Experiments (... JOVE Journal of Visualized Experiments (... JOVE Journal of Visualized Experiments
SSOAR Social Science Open Access Reposit... SSOAR Social Science Open Access Reposit... SSOAR Social Science Open Access Reposit...
Cambridge eBooks EBA                        Cambridge E-Books                           Cambridge University Press eBooks (EBS k...
CEEOL Central and Eastern European Onlin... CEEOL Central and Eastern European Onlin... CEEOL Central and Eastern European Onlin...
JSTOR Arts & Sciences XIII Archive          JSTOR Arts & Sciences XIII Archive          JSTOR
Elsevier E-Books                            Elsevier E-Books                            Elsevier E-Book Metadaten (UBL Profil)
JSTOR Music Archive                         JSTOR Music Archive                         JSTOR
OECD iLibrary                               OECD iLibrary                               OECD iLibrary
Springer eBook Collection / Chemistry an... Springer ebook collection / Chemistry an... Nationallizenzen (eBooks / Monographien)...
Internet Archive / Prelinger                Internet Archive / Prelinger                Internet Archive (archive.org)
Albert-Ludwigs-Universität Freiburg - Z...  base_ftzpkmfreiburg                         BASE Bielefeld Academic Search Engine
Hebräische Handschriften                    Digitale Sammlungen UBL / Hebräische Ha...  Buchhandschriften der UB Leipzig
U.S. Congressional Serial Set               U.S. Congressional Serial Set               Nationallizenzen (eBooks / Monographien)...
Nachlass Julius und Julius Wilhelm Kleng... Digitale Sammlungen UBL / Nachlass Juliu... Nachlässe der UB Leipzig
PDA eBooks EBL Schweitzer                   PDA E-Book Central                          Schweitzer EBL (UBL Profil)
JSTOR Arts & Sciences XV Archive            JSTOR Arts & Sciences XV Archive            JSTOR
Internet Archive / More Animation           Internet Archive / Animation Shorts         Internet Archive (archive.org)
Aarhus University: Research                 base_ftuniaarhuspubl                        BASE Bielefeld Academic Search Engine
IZI-Datenbank                               IZI-Datenbank                               IZI Datenbank
JSTOR Business I Archive                    JSTOR Business I Archive                    JSTOR
Thieme E-Journals                           Thieme Journals                             Thieme
Teatro Espanol del Siglo de Oro / TESO      Teatro Español del Siglo de Oro             Nationallizenzen (eBooks / Monographien)...
Nachlass Karl Bücher                        Digitale Sammlungen UBL / Nachlass Karl ... Nachlässe der UB Leipzig
Munzinger-Archiv / Länder                   Munzinger / Länder                          Munzinger
LLC VNIGNI-2 (CrossRef)                     LLC VNIGNI-2 (CrossRef)                     Crossref
De Gruyter Journals (SSH Social Sciences... De Gruyter Journals / Social Sciences an... DeGruyter SSH
Mystik & Aszese des 16. - 19. Jahrhunder... Mystik & Aszese des 16.-19. Jahrhunderts... Nationallizenzen (eBooks / Monographien)...
Karger eBooks Collection 1997-2009          Karger eBooks Collection                    Nationallizenzen (eBooks / Monographien)...
Kunsthochschule für Medien Köln (VK Fi...   Kunsthochschule für Medien Köln (VK Fi...   Kunsthochschule für Medien Köln (VK Fi...
JSTOR Arts & Sciences V Archive             JSTOR Arts & Sciences V Archive             JSTOR
JSTOR Arts & Sciences VII Archive           JSTOR Arts & Sciences VII Archive           JSTOR
Mediamusic (E-Journal)                      base_ftjmediamusic                          BASE Bielefeld Academic Search Engine
JSTOR Sustainability                        JSTOR Sustainability                        JSTOR
Genios wiso (Wirtschaftswissenschaften)     Wiso Journals / Wirtschaftswissenschafte... GBI Genios Wiso
Munzinger / edition text + kritik / Krit... Munzinger / Kritisches Lexikon der fremd... Munzinger
JSTOR Arts & Sciences III Archive           JSTOR Arts & Sciences III Archive           JSTOR
JSTOR Arts & Sciences IV Archive            JSTOR Arts & Sciences IV Archive            JSTOR
PIA HE MIA (CrossRef)                       PIA HE MIA (CrossRef)                       Crossref
Carnegie Mellon University: Herbert A. S... base_ftcarmelsimon                          BASE Bielefeld Academic Search Engine
Aberdeen University Research Archive (AU... base_ftunivaberdeen                         BASE Bielefeld Academic Search Engine
Brill Nijhoff E-Books Collections, Human... Brill Online / E-Books Human Rights and ... Nationallizenzen (eBooks / Monographien)...
Palgrave Economics & Finance Collection ... Palgrave E-Books / Economics & Finance      Nationallizenz Palgrave Economics & Fina...
Filmakademie Baden-Württemberg              Filmakademie Baden-Württemberg (VK Film...  Filmakademie Baden-Württemberg
Corvey Digital Collection - Literature o... Corvey Digital Collection Literature of ... Nationallizenzen (eBooks / Monographien)...
Carnegie Mellon University: Joseph F. Tr... base_ftcarmeltraub                          BASE Bielefeld Academic Search Engine
JOVE Journal of Visualized Experiments (... JOVE Journal of Visualized Experiments /... JOVE Journal of Visualized Experiments
DoPuS - Publications of the German Unive... base_ftunivspeyer                           BASE Bielefeld Academic Search Engine
Filmuniversität Konrad Wolf Potsdam (VK...  Filmuniversität Konrad Wolf Potsdam (VK...  Filmuniversität Konrad Wolf Potsdam (VK...
DOAJ Directory of Open Access Journals      DOAJ Directory of Open Access Journals      DOAJ Directory of Open Access Journals
JOVE Journal of Visualized Experiments (... JOVE Journal of Visualized Experiments /... JOVE Journal of Visualized Experiments
Persée                                      Persée                                      Persee.fr
Genios wiso (UBL Profil)                    Wiso Journals                               GBI Genios Wiso
Springer Journals                           Springer Journals                           Springer Journals
Transactions of the International Societ... base_ftjismir                               BASE Bielefeld Academic Search Engine
Aalborg University (AAU): Publications /... base_ftalborgunivpubl                       BASE Bielefeld Academic Search Engine
Persée (adlr)                               Persée                                      Persee.fr
Oxford Scholarship Online - Religion        Oxford E-Books / Religion                   Oxford Scholarship Online
Springer eBook Collection / Medicine 200... Springer ebook collection / Medicine 200... Nationallizenzen (eBooks / Monographien)...
Springer Lecture Notes Archiv 1964-1996     Springer Lecture Notes                      Nationallizenzen (eBooks / Monographien)...
Carnegie Mellon University: HELIOS (Hein... base_ftcarmelhelios                         BASE Bielefeld Academic Search Engine
JSTOR Open Access eBooks                    JSTOR E-Books Open Access                   OCLC WorldShare Collection Manager
Genios wiso (Psychologie)                   Wiso Journals / Psychologie                 GBI Genios Wiso
Carnegie Museum of Natural History (CMNH... base_ftcarmelcmnh                           BASE Bielefeld Academic Search Engine
Nachlass Wilhelm Wundt                      Digitale Sammlungen UBL / Nachlass Wilhe... Nachlässe der UB Leipzig
OLC SSG Film / Theater                      OLC SSG Film / Theater                      OLC Online Contents (aus GBV Central)
Internet Archive / Classic Cartoons         Internet Archive / Classic Cartoons         Internet Archive (archive.org)
Carnegie Mellon University: Allen Newell... base_ftcarmelnewell                         BASE Bielefeld Academic Search Engine
JSTOR Business III Archive                  JSTOR Business III Archive                  JSTOR
Early English Books Online EEBO             Early English Books Online EEBO             Early English Books Online EEBO
Portraitstichsammlung                       UBL / Portraitstichsammlung                 Portraitstichsammlung UB Leipzig
JSTOR Film and Performing Arts              JSTOR Film and Performing Arts              JSTOR
JSTOR Arts & Sciences I Archive             JSTOR Arts & Sciences I Archive             JSTOR
Munzinger-Archiv / Internationales Biogr... Munzinger / Internationales Biographisch... Munzinger
JSTOR Arts & Sciences II Archive            JSTOR Arts & Sciences II Archive            JSTOR
Kieler Beiträge zur Filmmusikforschung      Kieler Beiträge zur Filmmusikforschung      Kieler Beiträge zur Filmmusikforschung
Griechische Handschriften                   Digitale Sammlungen UBL / Griechische Ha... Buchhandschriften der UB Leipzig
Diplomarbeiten der Sportwissenschaftlich... UBL / Diplomarbeiten Sportwissenschaft      Diplomarbeiten der Sportwissenschaftlich...
E-Books adlr                                E-Books adlr                                PDA eBooks EBL Schweitzer (FID Profil)
JOVE Journal of Visualized Experiments (... JOVE Journal of Visualized Experiments (... JOVE Journal of Visualized Experiments
Internet Archive / Feature Films            Internet Archive / Feature Films            Internet Archive (archive.org)
Fragmente                                   Digitale Sammlungen UBL / Fragmente         Buchhandschriften der UB Leipzig
EIU Country Reports Archive                 EIU Country Reports Archive                 Nationallizenzen (eBooks / Monographien)...
Empire Online                               Empire Online                               Nationallizenzen (eBooks / Monographien)...
IEEE Xplore Library                         IEEE Xplore Library                         IEEE Xplore Library
Institut Ägyptologie                        UBL / Institut Ägyptologie                  Institut Ägyptologie (UBL)
Editora UEPG (CrossRef)                     Editora UEPG (CrossRef)                     Crossref
JSTOR Open Access eBooks (Profil adlr.li... JSTOR E-Books Open Access                   OCLC WorldShare Collection Manager
Aalto University Publication Archive (Aa... base_ftaaltouniv                            BASE Bielefeld Academic Search Engine
JSTOR Business IV Archive                   JSTOR Business IV Archive                   JSTOR
CAML Review / Revue de l'ACBM (Canadian ... base_ftjcamlr                               BASE Bielefeld Academic Search Engine
Abendländische mittelalterliche Handsch...  Digitale Sammlungen UBL / Abendländisch...  Buchhandschriften der UB Leipzig
Munzinger-Archiv / Chronik                  Munzinger / Chronik                         Munzinger
Early American Imprints, Series I - Evan... Early American Imprints - Series I Evans... Nationallizenzen (eBooks / Monographien)...
RSC eBook Collection, Royal Society of C... RSC eBook Collection 1968-2009              Nationallizenzen (eBooks / Monographien)...
Abendländische neuzeitliche Handschrift...  Digitale Sammlungen UBL / Abendländisch...  Buchhandschriften der UB Leipzig
Bundesarchiv (Filmarchiv)                   Bundesarchiv (Filmarchiv)                   Bundesarchiv (Filmarchiv)
PDA Print VUB (UBL Profil)                  PDA Print VUB                               VUB PDA print dt (UBL Profil)
Universitätsbibliothek Frankfurt am Mai...  Universitätsbibliothek Frankfurt am Mai...  Universitätsbibliothek Frankfurt am Mai...
AV Notas - Revista de investigación mus...  base_ftjavnotas                             BASE Bielefeld Academic Search Engine
Datenbank Internetquellen                   Datenbank Internetquellen                   Datenbank Internetquellen
Early American Imprints, Series II - Sha... Early American Imprints. Series II Shaw/... Nationallizenzen (eBooks / Monographien)...
JSTOR Ireland                               JSTOR Ireland                               JSTOR
Aristoteles Latinus Database                Aristoteles Latinus Database                Nationallizenzen (eBooks / Monographien)...
Open JSTOR Collection                       Open JSTOR Collection                       JSTOR
MOnAMi Hochschulschriftenserver Mittweid... MOnAMi Hochschulschriftenserver Mittweid... MOnAMi Hochschulschriftenserver Mittweid...
Internet Archive / Vintage Cartoons         Internet Archive / Vintage Cartoons         Internet Archive (archive.org)
Morgan & Claypool eBooks (CIS 5, 2013-20... Morgan & Claypool E-Books                   Morgan & Claypool eBooks
Oxford Scholarship Online - Philosophy      Oxford E-Books / Philosophy                 Oxford Scholarship Online
Making of the Modern Law - Legal Treatis... Making of Modern Law Legal Treatises 180... Nationallizenzen (eBooks / Monographien)...
Making of the Modern World                  Making of the Modern World economics, po... Nationallizenzen (eBooks / Monographien)...
Oxford Scholarship Online - Economics an... Oxford E-Books / Economics and Finance      Oxford Scholarship Online
Revistas Uniandes (CrossRef)                Revistas Uniandes (CrossRef)                Crossref
Elsevier Journals                           Elsevier Journals                           Elsevier Journals (Sachsen Profil)
Sammlung Wustmann                           Digitale Sammlungen UBL / Sammlung Wustm... Nachlässe der UB Leipzig
Kungl. Musikhögskolan: Publikationer / ...  base_ftkmhsstockholm                        BASE Bielefeld Academic Search Engine
Wales related fiction of the romantic pe... Wales related Fiction of the Romantic Pe... Nationallizenzen (eBooks / Monographien)...
Open-Access-Publikationsserver der Humbo... base_fthuberlin                             BASE Bielefeld Academic Search Engine
CIRWOLRD (CrossRef)                         CIRWOLRD (CrossRef)                         Crossref
Oxford Scholarship Online - Political Sc... Oxford E-Books / Political Science          Oxford Scholarship Online
SCEEMP (CrossRef)                           SCEEMP (CrossRef)                           Crossref
Lahikuva (CrossRef)                         Lahikuva (CrossRef)                         Crossref
Res Philosophica (CrossRef)                 Res Philosophica (CrossRef)                 Crossref
ITP Press (CrossRef)                        ITP Press (CrossRef)                        Crossref
Universitas Klabat (CrossRef)               Universitas Klabat (CrossRef)               Crossref
Idojaras (CrossRef)                         Idojaras (CrossRef)                         Crossref
Revista Prumo (CrossRef)                    Revista Prumo (CrossRef)                    Crossref
JSTOR Iberoamérica                          JSTOR Iberoamérica                          JSTOR
ALIES (CrossRef)                            ALIES (CrossRef)                            Crossref
IAC (CrossRef)                              IAC (CrossRef)                              Crossref
Litera (CrossRef)                           Litera (CrossRef)                           Crossref
VES Mir (CrossRef)                          VES Mir (CrossRef)                          Crossref
Nick Hern Books (CrossRef)                  Nick Hern Books (CrossRef)                  Crossref
Robert Hodge (CrossRef)                     Robert Hodge (CrossRef)                     Crossref
PuntoOrg (CrossRef)                         PuntoOrg (CrossRef)                         Crossref
The Lutterworth Press (CrossRef)            The Lutterworth Press (CrossRef)            Crossref
W T Keener (CrossRef)                       W T Keener (CrossRef)                       Crossref
Hermann et Cie (CrossRef)                   Hermann et Cie (CrossRef)                   Crossref
E-compos (CrossRef)                         E-compos (CrossRef)                         Crossref
H. K. Lewis (CrossRef)                      H. K. Lewis (CrossRef)                      Crossref
John Grigg (CrossRef)                       John Grigg (CrossRef)                       Crossref
Alpara (CrossRef)                           Alpara (CrossRef)                           Crossref
Allama Iqbal Open University (CrossRef)     Allama Iqbal Open University (CrossRef)     Crossref
Marketing and Tourism Review (CrossRef)     Marketing and Tourism Review (CrossRef)     Crossref
Multilingual Matters (CrossRef)             Multilingual Matters (CrossRef)             Crossref
Georesursy (CrossRef)                       Georesursy (CrossRef)                       Crossref
Universitat Pompeu Fabra (CrossRef)         Universitat Pompeu Fabra (CrossRef)         Crossref
Oslo and Akershus University College of ... Oslo and Akershus University College of ... Crossref
IMBR RAS (CrossRef)                         IMBR RAS (CrossRef)                         Crossref
B D Cousins (CrossRef)                      B D Cousins (CrossRef)                      Crossref
Bolyai Institute, SZTE (CrossRef)           Bolyai Institute, SZTE (CrossRef)           Crossref
Fondazione Vasculab (CrossRef)              Fondazione Vasculab (CrossRef)              Crossref
Institute of Cinema and Television (Cros... Institute of Cinema and Television (Cros... Crossref
IJEES (CrossRef)                            IJEES (CrossRef)                            Crossref
Korea Business Association (CrossRef)       Korea Business Association (CrossRef)       Crossref
Augusta University (CrossRef)               Augusta University (CrossRef)               Crossref
Kaygi (CrossRef)                            Kaygi (CrossRef)                            Crossref
William Lee (CrossRef)                      William Lee (CrossRef)                      Crossref
Wm S Orr & Co (CrossRef)                    Wm S Orr & Co (CrossRef)                    Crossref
RJI (CrossRef)                              RJI (CrossRef)                              Crossref
Academia Nacional de Policia (CrossRef)     Academia Nacional de Policia (CrossRef)     Crossref
InterCambios (CrossRef)                     InterCambios (CrossRef)                     Crossref
Puslitbang tekMIRA (CrossRef)               Puslitbang tekMIRA (CrossRef)               Crossref
Warwick & York (CrossRef)                   Warwick & York (CrossRef)                   Crossref
George J Coombes (CrossRef)                 George J Coombes (CrossRef)                 Crossref
Universitas Hang Tuah (CrossRef)            Universitas Hang Tuah (CrossRef)            Crossref
John MacFarlane (CrossRef)                  John MacFarlane (CrossRef)                  Crossref
The Century Co (CrossRef)                   The Century Co (CrossRef)                   Crossref
Partners in Digital Health (CrossRef)       Partners in Digital Health (CrossRef)       Crossref
We Ken (CrossRef)                           We Ken (CrossRef)                           Crossref
Arachnologische Mitteilungen (CrossRef)     Arachnologische Mitteilungen (CrossRef)     Crossref
Triacon (CrossRef)                          Triacon (CrossRef)                          Crossref
Hillhouse Press (CrossRef)                  Hillhouse Press (CrossRef)                  Crossref
ASSBT (CrossRef)                            ASSBT (CrossRef)                            Crossref
APECV (CrossRef)                            APECV (CrossRef)                            Crossref
Fundacion Miguel Lillo (CrossRef)           Fundacion Miguel Lillo (CrossRef)           Crossref
ICI Bucharest (CrossRef)                    ICI Bucharest (CrossRef)                    Crossref
Universitas Suryakancana (CrossRef)         Universitas Suryakancana (CrossRef)         Crossref
Korean Academy of Financial Consumer (Cr... Korean Academy of Financial Consumer (Cr... Crossref
Romanian Society of Gastroenterology and... Romanian Society of Gastroenterology and... Crossref
The International Journal of Digital Acc... The International Journal of Digital Acc... Crossref
United Nations Conference on Trade and D... United Nations Conference on Trade and D... Crossref
Gerlach Press (CrossRef)                    Gerlach Press (CrossRef)                    Crossref
Madridge Publishers, LLC (CrossRef)         Madridge Publishers, LLC (CrossRef)         Crossref
E. Story-Scientia (CrossRef)                E. Story-Scientia (CrossRef)                Crossref
Clinical Exercise Physiology Association... Clinical Exercise Physiology Association... Crossref
Editorial Committee of Annals of Thoraci... Editorial Committee of Annals of Thoraci... Crossref
Deer Hill Publications (CrossRef)           Deer Hill Publications (CrossRef)           Crossref
Pensar Academico (CrossRef)                 Pensar Academico (CrossRef)                 Crossref
Update Publishing (CrossRef)                Update Publishing (CrossRef)                Crossref
Deu Muhendislik Fakultesi Fen ve Muhendi... Deu Muhendislik Fakultesi Fen ve Muhendi... Crossref
Journal of Engineering (CrossRef)           Journal of Engineering (CrossRef)           Crossref
Hydrographic Society Benelux (CrossRef)     Hydrographic Society Benelux (CrossRef)     Crossref
Approaching Religion (CrossRef)             Approaching Religion (CrossRef)             Crossref
Society for Adult Education (CrossRef)      Society for Adult Education (CrossRef)      Crossref
Istanbul Journal of Sociological Studies... Istanbul Journal of Sociological Studies... Crossref
The Association of Yeongju Language and ... The Association of Yeongju Language and ... Crossref
International Society of Tea Science (Cr... International Society of Tea Science (Cr... Crossref
LAR Center Press (CrossRef)                 LAR Center Press (CrossRef)                 Crossref
DUV (CrossRef)                              DUV (CrossRef)                              Crossref
Design Institute, Inje University (Cross... Design Institute, Inje University (Cross... Crossref
University of Economics, Prague, Naklada... University of Economics, Prague, Naklada... Crossref
Malmo University Library (CrossRef)         Malmo University Library (CrossRef)         Crossref
Revista FLAMMAE (CrossRef)                  Revista FLAMMAE (CrossRef)                  Crossref
Ilmin International Relations Institute ... Ilmin International Relations Institute ... Crossref
CLOCKSS Archive (CrossRef)                  CLOCKSS Archive (CrossRef)                  Crossref
Instituto Chileno Terapia Familiar (Cros... Instituto Chileno Terapia Familiar (Cros... Crossref
International Journal of Management Econ... International Journal of Management Econ... Crossref
Sociedad Espanola de Hidrologia Medica (... Sociedad Espanola de Hidrologia Medica (... Crossref
Obuda University (CrossRef)                 Obuda University (CrossRef)                 Crossref
Turkish Journal of Engineering (CrossRef... Turkish Journal of Engineering (CrossRef... Crossref
International Plant Nutrition Institute ... International Plant Nutrition Institute ... Crossref
Korean Society of Dance Science (CrossRe... Korean Society of Dance Science (CrossRe... Crossref
Netherlands Tijdschrift voor Tandheelkun... Netherlands Tijdschrift voor Tandheelkun... Crossref
Universidad Academia de Humanismo Cristi... Universidad Academia de Humanismo Cristi... Crossref
Swiss Forestry Society (CrossRef)           Swiss Forestry Society (CrossRef)           Crossref
Universitas Airlangga (CrossRef)            Universitas Airlangga (CrossRef)            Crossref
East-West Art and Culture Studies Associ... East-West Art and Culture Studies Associ... Crossref
NICEC, Ltd. (CrossRef)                      NICEC, Ltd. (CrossRef)                      Crossref
Japanese Society of Human-Environment Sy... Japanese Society of Human-Environment Sy... Crossref
Korea Regional Communication Research As... Korea Regional Communication Research As... Crossref
Hunkar Alevilik Bektasilik Akademik Aras... Hunkar Alevilik Bektasilik Akademik Aras... Crossref
